Mean Rating,Std. Dev of Rating,English Cognate,Spanish Cognate,Point of  Diff. Letter,RT (msec),Observations (Correct RTs),Accuracy
5.52,0.862,finite,finito,6.0,817.8518518518518,27.0,1.0
6.95,0.216,flexible,flexible,9.0,825.5833333333334,36.0,0.972972972972973
5.17,0.881,fluctuate,fluctuar,8.0,817.6,30.0,1.0
2.91,1.265,focus,enfocar,1.0,1418.125,8.0,0.2857142857142857
5.95,0.492,format,formato,7.0,708.1481481481482,27.0,0.9310344827586207
6.91,0.37,formula,fórmula,8.0,748.1,30.0,0.967741935483871
3.11,1.468,found,fundir,2.0,1082.5,28.0,0.9032258064516129
5.0,1.036,foundation,fundación,2.0,848.8275862068965,29.0,0.9666666666666667
5.86,0.952,function,función,5.0,777.2380952380952,21.0,0.9545454545454546
3.79,1.26,fund,fondo,2.0,1235.7916666666667,24.0,0.8
5.19,0.634, fundamental,fundamento,10.0,818.875,24.0,0.9230769230769231
4.21,1.24,gender,género,4.0,864.9032258064516,31.0,1.0
5.11,0.793,generate,generar,7.0,790.1851851851852,27.0,0.9
5.86,0.647,generation,generación,7.0,771.6176470588235,34.0,1.0
5.74,0.939,globe,globo,5.0,839.5,26.0,0.8666666666666667
5.24,1.284,goal,gol,3.0,1018.9130434782609,23.0,0.7666666666666667
5.6,0.798,grade,grado,5.0,906.0370370370371,27.0,0.9642857142857143
4.07,1.237,guarantee  ,garantizar,2.0,777.6296296296297,27.0,0.9310344827586207
2.69,1.199,guideline ,guía,4.0,1241.9,10.0,0.3333333333333333
2.62,1.71,hierarchy,jerarquía,1.0,1124.5714285714287,7.0,0.2413793103448276
4.95,1.103,hypothesis,hipótesis,2.0,777.5454545454545,33.0,1.0
5.41,0.665,identical,idéntico,8.0,770.0,26.0,0.9629629629629629
5.02,0.811,identify  ,identificar,8.0,800.9090909090909,33.0,1.0
5.45,0.916,ideology,ideología,8.0,757.7741935483871,31.0,0.96875
5.81,0.833,ignorant,ignorante,9.0,755.09375,32.0,0.9696969696969697
5.1,0.85,illustrate,ilustrar,3.0,754.9166666666666,24.0,0.9230769230769231
6.0,0.383,image,imagen,6.0,771.9705882352941,34.0,0.9714285714285714
4.93,1.021,immigrate,inmigrar,2.0,718.6428571428571,28.0,0.9333333333333333
6.07,0.342,impact,impacto,7.0,720.4285714285714,28.0,0.9655172413793104
5.95,0.439, implement,implemento,10.0,747.2692307692307,26.0,0.9629629629629629
5.17,0.696,implicate,implicar,8.0,774.4375,32.0,1.0
5.86,0.751,implicit,implícito,9.0,775.6666666666666,33.0,1.0
4.52,0.89,imply,implicar,5.0,865.5909090909091,22.0,0.9565217391304348
4.64,0.958,impose,imponer,5.0,762.6428571428571,28.0,0.9333333333333333
5.64,0.983,incentive,incentivo,9.0,731.5769230769231,26.0,0.9629629629629629
