Mean Rating,Std. Dev of Rating,English Cognate,Spanish Cognate,Point of  Diff. Letter,RT (msec),Observations (Correct RTs),Accuracy
4.69,1.199,project,proyecto,4.0,1019.9666666666667,30.0,0.9090909090909091
4.14,1.3,promote,promover,6.0,772.05,20.0,0.8333333333333334
5.71,0.805,proportion,proporción,7.0,710.8518518518518,27.0,0.9642857142857143
5.02,0.95,prospect,prospectar,9.0,865.3076923076923,26.0,0.9629629629629629
5.83,0.437,protocol,protocolo,9.0,754.2413793103449,29.0,0.9666666666666667
4.29,1.195,psychology,psicología,3.0,1007.6470588235294,34.0,0.9714285714285714
5.74,0.939,publication,publicación,8.0,721.7777777777778,27.0,0.9642857142857143
4.1,1.008,publish,publicar,6.0,725.0384615384615,26.0,0.9285714285714286
2.95,1.322,pursue,perseguir,2.0,1023.7777777777778,27.0,0.8181818181818182
4.62,1.622,qualitative,cualitativo,1.0,891.0,15.0,0.6
7.0,0.0,radical,radical,8.0,799.28125,32.0,0.9696969696969697
5.81,0.707,rational,racional,3.0,779.6296296296297,27.0,0.9
3.64,1.078,react,reaccionar,5.0,827.3333333333334,24.0,0.8888888888888888
3.74,1.191,recover,recobrar,5.0,933.2962962962963,27.0,0.9310344827586207
5.14,0.952,refine,refinar,6.0,852.9375,32.0,1.0
5.67,0.928,regime,régimen,7.0,907.0,26.0,1.0
6.79,0.47,region,región,7.0,798.1111111111111,27.0,0.9310344827586207
5.12,0.861,register,registrar,7.0,729.0,29.0,0.9666666666666667
4.41,0.798,regulate,regularizar,7.0,763.09375,32.0,1.0
3.86,1.095,reinforce,reforzar,3.0,914.92,25.0,0.8333333333333334
2.45,1.234,reject,rechazar,3.0,983.6153846153846,13.0,0.4482758620689655
4.38,0.825,relax,relajar,5.0,899.3636363636364,22.0,0.7333333333333333
5.88,0.832,relevant,relevante,9.0,757.3928571428571,28.0,1.0
5.69,0.869,remove,remover,7.0,676.5925925925926,27.0,0.9642857142857143
5.0,0.883,require,requerir,5.0,794.04,25.0,0.9615384615384616
4.98,1.0,reside,residir,6.0,801.8,25.0,0.9615384615384616
5.95,0.379,resolve,resolver,8.0,767.4,25.0,0.8620689655172413
3.81,1.254,resource,recurso,3.0,895.2068965517242,29.0,1.0
5.36,0.692,respond,responder,8.0,756.5172413793103,29.0,0.9666666666666667
3.79,1.001,restore,restaurar,5.0,905.1052631578947,19.0,0.7307692307692307
4.19,0.917,restrict,restringir,7.0,863.7142857142857,28.0,0.9333333333333333
4.26,0.9122,retain,retener,2.0,869.5333333333333,30.0,0.967741935483871
5.17,0.794,reveal,revelar,5.0,773.0769230769231,26.0,1.0
5.81,0.455,reverse,reverso,7.0,854.5333333333333,30.0,1.0
5.21,0.951,revise,revisar,6.0,807.875,32.0,1.0
5.81,0.707,revolution,revolución,7.0,780.7096774193549,31.0,0.9393939393939394
5.71,0.805,rigid,rígido,6.0,713.875,24.0,0.96
6.45,1.214,role,rol,4.0,809.5454545454545,22.0,0.88
3.83,1.342,route,ruta,2.0,893.1428571428571,21.0,0.8076923076923077
5.45,0.916,scenario,escenario,1.0,940.64,25.0,0.9615384615384616
2.93,1.568,scheme,esquema,1.0,1137.0588235294117,17.0,0.5666666666666667
5.21,0.898,section,sección,4.0,724.9629629629629,27.0,0.9642857142857143
6.91,0.484,sector,sector,7.0,783.0322580645161,31.0,1.0
4.17,1.305,secure,seguro,3.0,955.2307692307693,26.0,0.9285714285714286
3.79,1.159,select  ,seleccionar,6.0,1007.9310344827586,29.0,0.90625
4.38,1.011,sequence,secuencia,3.0,728.5217391304348,23.0,0.9583333333333334
5.86,0.566,series,serie,6.0,863.2391304347826,27.0,0.9642857142857143
5.95,0.882,sex,sexo,4.0,816.24,25.0,0.8928571428571429
5.86,0.899, significant,significante,12.0,759.4705882352941,34.0,1.0
7.0,0.0,similar,similar,7.0,830.7241379310345,29.0,0.9666666666666667
5.0,0.827,simulate,simular,7.0,829.0384615384615,26.0,0.896551724137931
4.57,0.991,site,sitio,4.0,901.9677419354839,31.0,1.0
5.07,1.504,sole,solo,4.0,877.695652173913,23.0,0.7931034482758621
4.86,1.049,specific,específico,1.0,1063.2333333333333,30.0,0.8823529411764706
3.91,1.265,specify  ,especificar,1.0,1128.65,20.0,0.5714285714285714
3.24,1.511,sphere,esfera,1.0,1118.9,10.0,0.3225806451612903
5.6,0.767,stable,estable,1.0,1171.0434782608695,23.0,0.696969696969697
3.76,1.511,statistic,estadística,1.0,1179.111111111111,18.0,0.6
5.69,0.811,status,estatus,1.0,1130.6,25.0,0.7575757575757576
4.29,1.111,strategy,estrategia,1.0,1279.9285714285713,14.0,0.5
4.71,1.628,stress,estrés,1.0,1079.5882352941176,17.0,0.6296296296296297
4.69,1.278,structure,estructura,1.0,1012.4782608695652,23.0,0.71875
2.64,1.265,style,estilo,1.0,975.5,6.0,0.21428571428571427
2.6,1.251,submit,someter,2.0,950.2105263157895,19.0,0.5757575757575758
4.74,0.939, subordinate  , subordinar,10.0,874.8461538461538,26.0,0.896551724137931
5.0,0.937,subsequent,subsecuente,6.0,817.2962962962963,27.0,1.0
4.52,1.088,subsidy,subsidio,7.0,925.8518518518518,27.0,0.9310344827586207
4.31,1.259,substitute,sustituir,3.0,792.0,27.0,0.9310344827586207
5.61,0.729,successor,sucesor,4.0,732.4193548387096,31.0,0.96875
5.55,0.803,sufficient,suficiente,4.0,847.4,25.0,0.9259259259259259
5.17,0.961,sum,sumar,4.0,968.3571428571429,28.0,0.8484848484848485
5.64,0.577,supplement,suplemento,4.0,882.3870967741935,31.0,1.0
3.14,1.095,survive,sobrevivir,2.0,970.3448275862069,29.0,0.90625
5.41,0.767,suspend,suspender,8.0,772.4333333333333,30.0,0.967741935483871
3.55,1.31,sustain,sostener,2.0,1086.409090909091,22.0,0.6875
4.86,1.26,symbol,símbolo,2.0,931.24,25.0,0.9615384615384616
4.21,1.116,technical,técnico,4.0,904.88,25.0,0.9259259259259259
3.98,1.093,technique,técnica,4.0,922.5,26.0,0.9629629629629629
5.21,0.925,technology,tecnología,4.0,780.1379310344828,29.0,1.0
5.14,0.977,temporary,temporario,9.0,743.8620689655172,29.0,0.9666666666666667
5.91,0.484,tense,tenso,5.0,870.1724137931035,29.0,0.9666666666666667
5.36,0.759,terminate,terminar,8.0,733.0689655172414,29.0,0.9666666666666667
6.02,0.348,text,texto,5.0,758.2,25.0,0.8620689655172413
4.14,1.241,theme,tema,2.0,1060.4137931034484,29.0,0.9354838709677419
4.19,1.153,theory,teoría,2.0,970.5769230769231,26.0,0.8666666666666667
5.45,0.942,thesis,tesis,2.0,877.5,36.0,1.0
4.33,1.183,trace,trazar,4.0,845.9642857142857,28.0,0.9333333333333333
5.79,0.925,tradition,tradición,6.0,977.6153846153846,26.0,0.9629629629629629
5.48,0.707,transfer,transferir,9.0,793.4864864864865,37.0,1.0
5.57,0.914, transform,transformar,10.0,754.0625,32.0,1.0
5.07,0.947,transit,transitar,8.0,774.551724137931,29.0,0.9666666666666667
5.62,0.731,transmit,transmitir,9.0,675.0714285714286,28.0,1.0
5.55,0.803, transport,transportar,10.0,791.8846153846154,26.0,0.9285714285714286
3.57,1.382,trend,tender,2.0,848.6842105263158,19.0,0.6785714285714286
4.57,1.346,ultimate,último,6.0,801.2258064516129,31.0,0.9117647058823529
5.79,0.842,uniform,uniforme,8.0,851.9285714285714,28.0,0.9655172413793104
4.45,0.739,unify,unificar,5.0,1029.2592592592594,27.0,0.9
4.24,1.265,unique,único,4.0,897.9285714285714,28.0,0.9333333333333333
5.31,0.924,utilize  ,utilizar,7.0,674.4814814814815,27.0,0.9642857142857143
5.86,0.521,valid,válido,6.0,835.3636363636364,33.0,0.9428571428571428
4.55,0.916,vary,variar,4.0,837.56,25.0,0.9615384615384616
5.36,0.791,vehicle,vehículo,6.0,809.2666666666667,30.0,0.967741935483871
6.81,0.397,version,versión,8.0,744.4545454545455,33.0,1.0
6.88,0.328,via,vía,4.0,740.7916666666666,24.0,0.8275862068965517
4.81,0.862,violate,violar,6.0,827.0714285714286,28.0,0.9333333333333333
6.86,0.926,virtual,virtual,8.0,664.6774193548387,31.0,1.0
6.98,0.154,visible,visible,8.0,655.76,25.0,1.0
6.88,0.328,vision,visión,7.0,669.030303030303,33.0,1.0
6.98,0.154,visual,visual,7.0,632.25,32.0,0.9696969696969697
6.1,0.576,volume,volumen,7.0,813.0,30.0,0.967741935483871
5.33,0.874,voluntary,voluntario,9.0,804.2333333333333,30.0,1.0
